,index,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
69,15057,Loyal Customer,61,Personal Travel,Eco,522,1,4,1,1,2,4,2,,4,2,4,5,4,2,0,0.0,neutral or dissatisfied
70,43811,disloyal Customer,36,Business travel,Eco,326,3,1,3,4,3,2,4,3,4,4,3,4,3,3,13,49.0,neutral or dissatisfied
71,7693,Loyal Customer,51,Business travel,Business,3345,2,2,3,2,4,4,4,3,3,4,3,3,3,3,22,0.0,satisfied
72,66112,Loyal Customer,42,Personal Travel,Eco,804,2,5,2,2,2,5,2,,1,2,5,2,2,2,0,11.0,neutral or dissatisfied
73,41355,Loyal Customer,31,Business travel,Business,3021,4,2,2,2,4,3,4,,3,2,4,4,3,4,46,48.0,neutral or dissatisfied
74,99759,disloyal Customer,25,Business travel,Eco,999,1,1,1,2,1,1,1,,5,1,1,3,3,1,0,,neutral or dissatisfied
75,3121,Loyal Customer,43,Business travel,Business,570,4,4,4,4,4,1,5,,5,5,5,5,5,5,0,0.0,satisfied
76,109046,disloyal Customer,24,Business travel,Eco,737,4,4,4,1,5,5,5,,2,2,1,4,5,5,0,12.0,neutral or dissatisfied
77,101124,Loyal Customer,34,Business travel,Business,2237,1,1,1,1,3,5,4,4,4,4,5,3,4,5,1,,satisfied
78,10669,Loyal Customer,21,Personal Travel,Eco,599,4,3,4,3,4,4,4,4,5,1,5,4,4,4,0,0.0,satisfied
79,97920,disloyal Customer,17,Business travel,Eco,1072,5,5,5,4,4,4,4,4,3,4,5,3,4,4,0,0.0,satisfied
80,94437,Loyal Customer,44,Personal Travel,Eco,373,2,4,2,5,2,0,4,,3,2,3,3,3,1,8,1.0,neutral or dissatisfied
81,62304,Loyal Customer,49,Business travel,Business,3292,4,4,3,4,3,4,5,,4,4,4,3,4,3,0,0.0,satisfied
82,86381,Loyal Customer,48,Business travel,Eco Plus,192,5,5,5,5,3,4,4,5,5,5,5,4,5,4,0,,satisfied
83,100313,Loyal Customer,36,Business travel,Business,1587,3,5,5,5,2,5,4,,3,3,3,2,3,3,0,0.0,neutral or dissatisfied
84,72142,disloyal Customer,20,Business travel,Eco,1139,4,4,4,1,3,3,3,,5,3,5,4,5,3,0,0.0,satisfied
85,128305,Loyal Customer,8,Personal Travel,Business,429,1,5,1,1,5,4,1,,2,5,2,5,2,5,0,0.0,neutral or dissatisfied
86,68313,Loyal Customer,33,Business travel,Business,2929,3,3,3,3,5,1,5,,5,5,5,4,5,2,0,,satisfied
87,95136,Loyal Customer,61,Business travel,Business,1044,2,3,2,2,5,5,3,,2,2,2,3,2,3,31,15.0,neutral or dissatisfied
88,87649,Loyal Customer,46,Business travel,Business,1521,5,5,5,5,3,3,5,5,5,5,5,4,5,3,0,0.0,satisfied
89,127450,Loyal Customer,30,Business travel,Eco,251,1,5,3,5,1,1,1,1,3,4,4,1,4,1,0,8.0,neutral or dissatisfied
90,55243,Loyal Customer,48,Business travel,Business,1845,4,4,4,4,4,4,5,,5,4,5,5,5,3,0,,satisfied
91,110977,Loyal Customer,57,Business travel,Business,1688,1,1,1,1,1,2,1,4,4,4,5,2,4,3,0,0.0,satisfied
92,73849,Loyal Customer,46,Personal Travel,Eco,813,2,4,2,3,1,4,1,1,4,3,5,3,4,1,0,0.0,neutral or dissatisfied
93,118669,Loyal Customer,61,Personal Travel,Eco,109,2,5,2,3,4,5,4,,4,1,4,4,2,4,11,9.0,neutral or dissatisfied
94,18582,Loyal Customer,30,Business travel,Business,2088,3,4,4,4,3,3,3,,3,2,4,2,3,3,5,26.0,neutral or dissatisfied
95,13580,disloyal Customer,8,Business travel,Eco,1140,2,2,2,3,4,4,4,,3,4,3,3,3,4,0,0.0,neutral or dissatisfied
96,75376,Loyal Customer,40,Personal Travel,Eco,1660,3,0,3,3,5,4,5,5,5,4,4,3,4,5,2,0.0,neutral or dissatisfied
97,13987,Loyal Customer,39,Business travel,Business,222,4,4,4,4,4,2,4,,5,5,5,1,5,1,0,0.0,satisfied
98,112569,Loyal Customer,50,Business travel,Business,1882,2,5,5,5,4,4,3,,2,2,2,3,2,3,0,,neutral or dissatisfied
99,124138,Loyal Customer,68,Personal Travel,Eco,1046,2,4,2,3,4,4,4,4,4,4,4,4,4,4,0,,neutral or dissatisfied
100,55799,disloyal Customer,27,Business travel,Business,2586,5,5,5,1,0,4,1,3,3,4,5,1,3,1,0,0.0,satisfied
101,100192,Loyal Customer,47,Business travel,Business,647,1,1,1,1,3,4,5,,5,5,5,5,5,5,17,,satisfied
102,27368,Loyal Customer,67,Personal Travel,Eco,680,2,5,2,3,4,5,4,4,4,2,4,4,5,4,0,0.0,neutral or dissatisfied
103,100394,disloyal Customer,10,Business travel,Eco,1049,3,3,3,3,1,4,1,,2,4,2,1,3,1,0,8.0,neutral or dissatisfied
104,70482,Loyal Customer,33,Business travel,Eco Plus,1024,2,1,1,1,2,5,2,,3,3,3,2,3,2,0,0.0,neutral or dissatisfied
105,26528,disloyal Customer,27,Business travel,Eco,326,3,3,3,2,5,2,5,,1,1,1,4,5,5,5,0.0,neutral or dissatisfied
106,120175,Loyal Customer,42,Business travel,Business,1847,3,3,3,3,5,4,4,,4,4,4,4,4,4,35,35.0,satisfied
107,40462,Loyal Customer,28,Personal Travel,Eco Plus,643,1,5,1,3,4,5,4,4,4,3,5,4,4,4,2,0.0,neutral or dissatisfied
108,56144,Loyal Customer,37,Business travel,Business,2640,2,4,4,4,3,5,2,,2,2,2,2,2,1,5,0.0,neutral or dissatisfied
109,10144,Loyal Customer,45,Business travel,Eco,313,3,3,3,3,4,2,3,,3,3,3,4,3,2,0,0.0,neutral or dissatisfied
110,105539,Loyal Customer,26,Business travel,Business,2283,3,3,3,3,5,4,5,5,5,4,4,3,5,5,0,0.0,satisfied
111,125396,disloyal Customer,23,Business travel,Eco,921,1,1,1,4,3,4,3,,5,3,1,2,5,3,0,0.0,neutral or dissatisfied
112,62152,disloyal Customer,35,Business travel,Business,1067,2,2,2,3,3,3,3,,5,1,2,4,4,3,7,0.0,neutral or dissatisfied
113,90855,Loyal Customer,19,Personal Travel,Eco,337,4,5,4,4,2,4,1,,4,2,4,3,4,2,8,,satisfied
114,80716,Loyal Customer,50,Business travel,Business,2293,1,1,1,1,2,5,1,3,3,3,3,4,3,4,5,31.0,satisfied
115,94523,Loyal Customer,31,Business travel,Business,3916,4,4,4,4,5,4,5,,4,5,5,5,4,5,0,0.0,satisfied
116,113995,Loyal Customer,36,Business travel,Business,577,2,3,3,3,5,4,2,,2,2,2,3,2,1,0,,neutral or dissatisfied
117,18402,disloyal Customer,21,Business travel,Business,232,0,3,0,5,4,5,4,,4,3,2,5,3,4,0,,satisfied
118,93647,Loyal Customer,63,Business travel,Business,102,1,1,1,1,2,4,4,,4,4,5,3,4,3,0,0.0,satisfied
119,41936,Loyal Customer,30,Personal Travel,Eco Plus,1892,2,4,3,4,3,3,3,,1,4,3,3,3,3,12,7.0,neutral or dissatisfied
120,30020,Loyal Customer,51,Business travel,Business,101,0,4,0,1,4,3,1,,5,1,1,2,5,1,10,11.0,satisfied
121,73826,disloyal Customer,25,Business travel,Business,235,1,4,1,1,4,2,4,4,5,4,4,5,5,4,0,13.0,neutral or dissatisfied
122,27048,Loyal Customer,45,Business travel,Business,919,2,2,2,2,3,1,5,4,4,4,4,3,4,4,0,13.0,satisfied
123,53236,Loyal Customer,52,Business travel,Business,1901,5,5,5,5,4,4,2,,4,4,5,3,4,5,0,0.0,satisfied
124,113415,Loyal Customer,60,Business travel,Business,113,0,4,0,1,2,4,5,5,5,5,5,5,5,5,0,,satisfied
125,12911,disloyal Customer,25,Business travel,Eco,204,1,3,1,4,4,3,4,,2,1,3,1,3,4,0,5.0,neutral or dissatisfied
126,92922,Loyal Customer,44,Business travel,Eco,546,2,5,5,5,3,1,3,3,1,5,3,3,4,3,12,2.0,neutral or dissatisfied
127,10462,Loyal Customer,43,Personal Travel,Eco Plus,414,4,3,4,2,5,3,5,5,1,4,5,5,4,5,0,0.0,neutral or dissatisfied
128,42664,Loyal Customer,42,Business travel,Business,674,3,3,3,3,4,1,1,,3,3,3,4,3,3,0,11.0,neutral or dissatisfied
129,65373,Loyal Customer,47,Business travel,Business,1911,3,3,4,3,4,3,5,,3,3,3,5,3,4,1,,satisfied
130,19419,Loyal Customer,47,Business travel,Business,414,5,5,5,5,5,5,5,4,4,4,4,3,4,3,43,37.0,satisfied
131,105583,disloyal Customer,52,Business travel,Eco,628,2,0,2,3,5,3,4,,5,3,4,4,4,5,0,0.0,neutral or dissatisfied
132,75046,disloyal Customer,21,Business travel,Eco,822,3,3,3,3,4,4,2,4,2,2,4,2,3,4,0,0.0,neutral or dissatisfied
133,111441,Loyal Customer,53,Personal Travel,Eco,862,2,5,2,3,2,3,5,,4,2,3,4,4,5,6,,neutral or dissatisfied
134,127976,disloyal Customer,37,Business travel,Business,522,1,1,1,2,5,4,5,,5,2,4,3,4,5,30,,neutral or dissatisfied
135,14343,disloyal Customer,64,Business travel,Eco,812,1,1,1,3,1,4,1,1,3,3,4,1,3,1,74,84.0,neutral or dissatisfied
136,38572,disloyal Customer,26,Business travel,Business,341,4,0,4,4,4,4,4,4,4,5,5,3,5,4,23,20.0,satisfied
137,117817,Loyal Customer,51,Business travel,Eco,1739,3,1,2,2,5,2,2,,2,3,2,4,2,4,27,16.0,neutral or dissatisfied
138,31820,Loyal Customer,29,Business travel,Business,929,3,5,5,5,3,4,3,,3,5,4,4,3,3,8,16.0,neutral or dissatisfied
139,77613,Loyal Customer,12,Personal Travel,Eco,160,2,4,0,1,3,5,3,3,4,4,5,4,5,3,0,0.0,neutral or dissatisfied
140,71965,disloyal Customer,22,Business travel,Eco,190,4,0,4,5,4,4,3,,2,1,1,4,5,4,0,0.0,neutral or dissatisfied
141,8886,Loyal Customer,37,Business travel,Business,1013,3,3,3,3,1,0,3,3,3,3,3,2,3,3,0,0.0,neutral or dissatisfied
142,84644,Loyal Customer,9,Personal Travel,Eco Plus,1023,3,4,3,4,2,3,2,2,2,3,5,4,5,2,0,0.0,neutral or dissatisfied
143,18065,Loyal Customer,40,Business travel,Business,192,5,5,2,5,5,2,2,,5,5,3,3,5,3,0,0.0,satisfied
144,7328,disloyal Customer,59,Business travel,Business,237,4,4,4,3,3,0,2,,4,4,4,3,5,3,0,0.0,satisfied
145,116498,disloyal Customer,40,Business travel,Eco,682,2,2,2,5,2,5,2,,2,5,3,5,3,2,0,0.0,neutral or dissatisfied
146,109346,Loyal Customer,66,Personal Travel,Eco,2519,2,3,2,2,2,4,1,1,4,3,2,1,2,1,4,2.0,neutral or dissatisfied
147,123839,Loyal Customer,37,Personal Travel,Eco,2717,3,4,3,4,3,3,2,,4,3,4,2,5,2,0,0.0,neutral or dissatisfied
148,10945,Loyal Customer,20,Business travel,Business,187,5,5,5,5,4,4,5,4,3,5,4,4,4,4,0,0.0,satisfied
149,27174,Loyal Customer,10,Business travel,Business,641,3,4,4,4,3,3,3,,2,2,4,1,4,3,0,6.0,neutral or dissatisfied
150,111095,Loyal Customer,63,Personal Travel,Eco,255,1,2,1,4,5,1,5,,3,4,3,1,4,5,1,0.0,neutral or dissatisfied
151,98836,disloyal Customer,37,Business travel,Business,347,2,2,2,3,1,3,1,1,1,5,4,5,3,1,0,0.0,neutral or dissatisfied
152,117560,Loyal Customer,18,Business travel,Business,1654,5,5,5,5,3,3,3,,4,5,4,4,4,3,0,,satisfied
153,16028,disloyal Customer,30,Business travel,Eco,406,3,3,3,3,2,3,2,,1,3,3,1,3,2,20,19.0,neutral or dissatisfied
154,69809,Loyal Customer,36,Business travel,Business,3470,4,4,4,4,2,3,5,2,2,2,2,4,2,4,36,24.0,satisfied
155,93819,Loyal Customer,49,Personal Travel,Eco,1074,1,5,1,4,2,3,5,1,1,1,1,3,1,3,29,,neutral or dissatisfied
156,65993,Loyal Customer,57,Personal Travel,Eco,406,2,1,2,4,3,5,3,,2,5,3,4,3,3,0,12.0,neutral or dissatisfied
157,48150,Loyal Customer,42,Business travel,Business,3809,4,4,4,4,4,1,4,,2,5,4,4,4,4,133,193.0,satisfied
158,56910,Loyal Customer,30,Business travel,Business,337,5,5,5,5,4,1,4,,5,1,5,1,5,4,0,0.0,satisfied
159,54124,disloyal Customer,29,Business travel,Business,2075,5,5,5,1,3,4,3,,3,4,5,5,4,3,0,18.0,satisfied
160,105806,disloyal Customer,33,Business travel,Eco,125,1,0,1,4,3,0,3,,5,5,1,2,4,3,2,0.0,neutral or dissatisfied
161,33761,Loyal Customer,44,Business travel,Business,1072,1,1,1,1,4,3,5,,5,5,5,3,5,5,8,0.0,satisfied
162,96080,Loyal Customer,37,Personal Travel,Eco Plus,595,2,2,2,3,4,4,4,4,2,1,3,4,3,4,0,20.0,neutral or dissatisfied
163,94033,Loyal Customer,36,Business travel,Business,2072,4,4,4,4,5,5,4,4,4,4,4,1,4,4,0,0.0,satisfied
164,45573,Loyal Customer,36,Business travel,Eco,374,4,4,4,4,4,1,4,,3,1,5,3,2,4,24,20.0,satisfied
165,5194,disloyal Customer,17,Business travel,Eco,802,4,4,4,5,4,2,4,4,4,5,5,4,5,4,0,0.0,satisfied
166,17796,Loyal Customer,38,Personal Travel,Eco Plus,308,2,5,2,4,1,4,1,1,3,2,1,2,5,1,19,14.0,neutral or dissatisfied
167,34527,Loyal Customer,60,Personal Travel,Business,416,3,5,3,1,2,4,5,,5,3,5,2,5,5,106,,neutral or dissatisfied
168,121387,Loyal Customer,70,Personal Travel,Business,1521,2,4,2,2,2,4,5,5,5,2,5,5,5,3,0,0.0,neutral or dissatisfied
169,14051,Loyal Customer,45,Business travel,Eco,384,4,4,4,4,5,5,4,,4,4,4,4,4,3,0,,neutral or dissatisfied
170,91899,Loyal Customer,55,Business travel,Business,3768,3,3,4,3,5,4,4,,4,4,4,5,4,5,0,0.0,satisfied
171,92837,Loyal Customer,43,Business travel,Business,1999,0,5,0,1,3,5,5,,2,2,2,2,2,4,4,22.0,satisfied
172,86003,Loyal Customer,30,Business travel,Business,2684,2,4,4,4,2,3,2,2,3,3,3,4,3,2,2,,neutral or dissatisfied
173,111547,Loyal Customer,54,Business travel,Business,733,1,1,1,1,3,3,4,4,4,5,4,5,4,3,33,23.0,satisfied
174,102989,Loyal Customer,23,Business travel,Business,1605,5,5,5,5,5,5,5,5,2,4,2,2,1,5,1,0.0,satisfied
175,30597,Loyal Customer,37,Business travel,Business,1119,2,2,1,2,5,4,5,,4,4,4,5,4,5,0,,satisfied
176,649,Loyal Customer,45,Business travel,Business,427,2,4,4,4,1,1,3,,2,2,2,4,2,1,0,0.0,neutral or dissatisfied
177,92153,Loyal Customer,42,Business travel,Business,1972,2,2,2,2,3,5,5,4,4,4,4,4,4,3,2,0.0,satisfied
178,68518,Loyal Customer,23,Personal Travel,Eco,1514,4,2,4,3,1,2,2,,2,2,4,2,3,1,0,0.0,neutral or dissatisfied
179,10403,Loyal Customer,34,Business travel,Business,2487,1,1,1,1,3,5,4,5,5,5,5,3,5,3,0,0.0,satisfied
180,7110,Loyal Customer,60,Personal Travel,Eco,425,2,0,2,5,2,3,5,4,4,2,5,3,4,4,0,0.0,neutral or dissatisfied
181,41750,Loyal Customer,36,Personal Travel,Eco,1671,4,4,4,1,3,1,3,,4,4,2,4,4,3,12,23.0,neutral or dissatisfied
182,125760,Loyal Customer,39,Personal Travel,Eco Plus,495,1,3,1,4,2,4,1,,2,4,3,3,4,2,0,,neutral or dissatisfied
183,117193,disloyal Customer,20,Business travel,Eco,376,2,0,2,3,1,1,1,1,1,2,4,5,1,1,45,,neutral or dissatisfied
184,85344,Loyal Customer,55,Business travel,Business,404,1,1,1,1,4,1,4,4,4,4,4,5,4,5,5,4.0,satisfied
185,14428,Loyal Customer,17,Personal Travel,Eco,733,1,2,1,4,5,1,1,,4,2,4,1,4,5,0,4.0,neutral or dissatisfied
186,105555,disloyal Customer,23,Business travel,Eco,1371,5,5,5,3,3,4,3,3,5,5,5,3,5,3,0,,satisfied
187,50092,Loyal Customer,32,Business travel,Eco,859,3,2,5,2,3,2,3,,1,1,4,2,4,3,65,53.0,neutral or dissatisfied
188,117628,Loyal Customer,42,Business travel,Business,895,4,4,4,4,5,5,5,,5,5,5,4,5,5,7,0.0,satisfied
189,32145,Loyal Customer,20,Personal Travel,Eco,391,4,4,4,4,2,1,2,,5,2,4,4,5,2,0,,neutral or dissatisfied
190,115655,Loyal Customer,19,Personal Travel,Eco,236,3,5,3,2,4,1,5,,2,4,1,3,1,4,0,0.0,neutral or dissatisfied
191,64787,Loyal Customer,12,Personal Travel,Eco Plus,139,3,0,3,4,1,5,1,1,3,5,5,3,4,1,0,22.0,neutral or dissatisfied
192,98778,disloyal Customer,38,Business travel,Business,354,1,2,2,4,1,3,1,,2,4,4,2,3,1,0,0.0,neutral or dissatisfied
193,52397,Loyal Customer,64,Personal Travel,Eco,944,1,2,1,4,1,4,2,,5,3,4,2,4,2,111,,neutral or dissatisfied
194,99968,Loyal Customer,13,Personal Travel,Eco,630,3,4,3,1,4,3,4,,5,5,2,2,3,4,0,3.0,neutral or dissatisfied
195,103407,Loyal Customer,50,Business travel,Business,3878,1,1,1,1,2,5,4,,5,5,5,5,5,4,4,,satisfied
196,90873,Loyal Customer,16,Business travel,Business,2402,2,2,2,2,5,4,5,,4,2,5,3,4,5,0,0.0,satisfied
197,105067,Loyal Customer,27,Business travel,Business,2611,4,4,4,4,5,5,5,,5,5,4,5,5,5,0,5.0,satisfied
198,7393,Loyal Customer,48,Business travel,Business,2399,3,3,3,3,4,3,5,,4,4,4,4,4,4,0,0.0,satisfied
199,99487,Loyal Customer,50,Business travel,Business,3359,0,4,0,3,2,3,5,,4,4,4,3,4,4,5,1.0,satisfied
200,88066,Loyal Customer,54,Business travel,Business,315,2,2,2,2,4,4,5,,5,5,5,3,5,5,0,0.0,satisfied
